######################## ######################## ######################## ######################## ######################## ######################## ########################
# Radius (arcsec)	 Intensity B7 (Jy/sr)     Intensity B6 (Jy/sr)     Intensity B3 (Jy/sr)     Error Int B7 (Jy/sr)     Error Int B6 (Jy/sr)     Error Int B3 (Jy/sr)
######################## ######################## ######################## ######################## ######################## ######################## ########################
1.834261861621818146e-01 3.402829949315485477e+09 4.710114036797599792e+08 9.497588047443747520e+07 2.752451255834054947e+07 1.476086104813039303e+07 8.047392359136137180e+06
1.878195646529497165e-01 3.631318246063614845e+09 5.288417911725636721e+08 9.647833434008654952e+07 2.795767948778581619e+07 1.530070479465925694e+07 7.967699624261680059e+06
1.922129445685964999e-01 3.868727316925202370e+09 5.928368196297156811e+08 9.803915103714512289e+07 2.833206406233310699e+07 1.583434717555248737e+07 7.948843570928112604e+06
1.966063258136125369e-01 4.108840873007456303e+09 6.660084422212181091e+08 9.979909255534908175e+07 2.862441031308698654e+07 1.636986642601871490e+07 7.985873550407784060e+06
2.009997083008373542e-01 4.361596695071896553e+09 7.462241062621608973e+08 1.018885766583151668e+08 2.883847676996326447e+07 1.687891533770728111e+07 8.069165517398576252e+06
2.053930919505667918e-01 4.621481794283975601e+09 8.315378372241399288e+08 1.044221433092157245e+08 2.896521706406211853e+07 1.734711437655925751e+07 8.186891356194173917e+06
2.097864766897726552e-01 4.878341010003562927e+09 9.222970785345876217e+08 1.074938797442320138e+08 2.900710661473274231e+07 1.778168509058153629e+07 8.326682830276099965e+06
2.141798624514177629e-01 5.133970556742273331e+09 1.018089014793782949e+09 1.111729497345111370e+08 2.897991581292152405e+07 1.818878810997831821e+07 8.476422554798470810e+06
2.185732491738543726e-01 5.389191242330078125e+09 1.117607199167652130e+09 1.154984625352185965e+08 2.889769751579570770e+07 1.857267451175951958e+07 8.624440539279041812e+06
2.229666368002927168e-01 5.629308618509382248e+09 1.218618435274518013e+09 1.204732142288054973e+08 2.878262464199733734e+07 1.893570479124617577e+07 8.759498723501630127e+06
2.273600252783322118e-01 5.847882606847338676e+09 1.318573639699772835e+09 1.260563161030661464e+08 2.865401924347305298e+07 1.927639109273743629e+07 8.870895477105922997e+06
2.317534145595453732e-01 6.055931020361460686e+09 1.418997378450363874e+09 1.321553648972783536e+08 2.851435691216373444e+07 1.960175832498455048e+07 8.948906030367441475e+06
2.361468045991079179e-01 6.247150009572791100e+09 1.514957449242465258e+09 1.386195502788594663e+08 2.836905207944297791e+07 1.989068534721374512e+07 8.985633150745313615e+06
2.405401953554702210e-01 6.413564360526916504e+09 1.601362197853637695e+09 1.452358113648985922e+08 2.821981637486267090e+07 2.011853458865976334e+07 8.976179365673325956e+06
2.449335867900635511e-01 6.554895889446769714e+09 1.680024932676209927e+09 1.517306335219483376e+08 2.805953509636974335e+07 2.027599618426275253e+07 8.919868172589059919e+06
2.493269788670371134e-01 6.674696833178765297e+09 1.748882665713622093e+09 1.577800354956197441e+08 2.787215669077205658e+07 2.034050884079885483e+07 8.821063648226667196e+06
2.537203715530233494e-01 6.771094321444899559e+09 1.804398293637806177e+09 1.630294618350937366e+08 2.764941425815200806e+07 2.029290999246644974e+07 8.689039943693529814e+06
2.581137648169260501e-01 6.843672165428001404e+09 1.845655105070276976e+09 1.671235464685451090e+08 2.738834362351512909e+07 2.013112849437570572e+07 8.536456121844479814e+06
2.625071586297307302e-01 6.897229963237801552e+09 1.873633174876581669e+09 1.697432420765525699e+08 2.707531525101470947e+07 1.985419330383133888e+07 8.376413359895582311e+06
2.669005529643330155e-01 6.933107936242033958e+09 1.888310761294472218e+09 1.706452032192252874e+08 2.671601161843299866e+07 1.946922727788734436e+07 8.218782796852127649e+06
2.712939477953842937e-01 6.954299129221649170e+09 1.890255698360736132e+09 1.696964552275198400e+08 2.632254701763916016e+07 1.900357672370076180e+07 8.067165014503012411e+06
2.756873430991515495e-01 6.965259044610843658e+09 1.881144574740651131e+09 1.668971543263098598e+08 2.590800773573207855e+07 1.848033486691403389e+07 7.917916778247031383e+06
2.800807388533907427e-01 6.970354448979083061e+09 1.862773040842562437e+09 1.623860951948511600e+08 2.547159588281250000e+07 1.791714944966006279e+07 7.761846959062575363e+06
2.844741350372319566e-01 6.973913726252657890e+09 1.837120300262788057e+09 1.564272464586521685e+08 2.503767439314842224e+07 1.733748031529378891e+07 7.587870950945954770e+06
2.888675316310747587e-01 6.980311264690859795e+09 1.807514767125934601e+09 1.493799407018481493e+08 2.463324989960861206e+07 1.677757481216478348e+07 7.387036037017860450e+06
2.932609286164932216e-01 6.994401078086036682e+09 1.776613368298095703e+09 1.416590054855845571e+08 2.424556819766902924e+07 1.625159342027592659e+07 7.155418618384415284e+06
2.976543259761493254e-01 7.021080450281250000e+09 1.746331999538661003e+09 1.336929357806814462e+08 2.388857006274795532e+07 1.575779850288391113e+07 6.895179820736936294e+06
3.020477236937134657e-01 7.064664500745732307e+09 1.719899839765187740e+09 1.258877564608104378e+08 2.357607276960372925e+07 1.531372998846077919e+07 6.613919147379850037e+06
3.064411217537926779e-01 7.128720719883524895e+09 1.699987729352207661e+09 1.186019427110134512e+08 2.331124192040061951e+07 1.492653461131620407e+07 6.322969112622918561e+06
3.108345201418641346e-01 7.217968804155659676e+09 1.688739779537369490e+09 1.121346594884323627e+08 2.309176390830326080e+07 1.459356077663302422e+07 6.035368774249987677e+06
3.152279188442145830e-01 7.337077628752667427e+09 1.688713480347844124e+09 1.067267253599137068e+08 2.291557909719562531e+07 1.431615535049772263e+07 5.764083166963521391e+06
